ytid,source_captions,new0,new1,new2,new3,new4
-0SdAVK79lg.wav,guitar  piano  and simple percussion,"A gentle blend of guitar, piano, and soft percussion creates a tranquil soundscape.",Piano keys dance between rhythmic guitar strums and subtle percussion beats.,"A lively trio of guitar, piano, and tapping percussion energizes the room.",Soft piano melodies intertwined with guitar chords and light drumming evoke calm.,"Dynamic guitar riffs, spirited piano, and light percussion offer a joyful melody.
"
-3Kv4fdm7Uk.wav,steeldrum,"The steeldrum, playing a tropical melody, paints a picture of sunny Caribbean afternoons.",The rhythmic beat of the steeldrum takes you to a lively carnival.,"A soothing steeldrum rhythm, full of warmth and rich in harmony.","With every beat of the steeldrum, the vibrant culture of the Caribbean comes alive.","The resonant sound of the steeldrum fills the air, bringing joy and festivity."
-4SYC2YgzL8.wav,ambient acoustic guitar music,"Acoustic guitar notes create a peaceful ambiance, engaging your senses.",The ambient acoustic melody drifts you into serenity.,A calming acoustic soundscape enticing serenity to the atmosphere.,The acoustic guitar's warm resonance creates a soothing ambience.," The music of the acoustic guitar, evoking a tranquil, meditative mood."
-5xOcMJpTUk.wav,guitar tutorial with energetic technique,A guitar solo that echoes the serenity of a calm lake at dusk. , An explosive guitar solo that surges like a thunderstorm. ," A guitar solo with delicate, whispering notes that soothe the soul. "," A passionate guitar solo, rich with fiery, rhythmic beats. "," A haunting guitar solo that resonates with deep, melancholic tones.
"
-88me9bBzrk.wav,tablas  bansuri flute and shrutibox,"A peaceful blend of tablas, bansuri flute, and shrutibox, evoking calm serenity.","A melodious fusion of tablas, shrutibox, and a bansuri flute dances into your heart.","The mystical notes of tablas, bansuri flute and shrutibox weave an enchanting soundscape.","Tablas, shrutibox, and bansuri flute syncopate in a rhythm that soothes the soul.","The blissful harmony of tablas, bansuri flute, and shrutibox brings an ethereal vibe."
-ByoSbgzr4M.wav,amplified  rapid-tempo electric guitar,"A thunderous, amplified electric guitar races through a high-speed melody.","An electrifying, amplified guitar bursts with rapid rhythms, energizing the room.","The electric guitar's amplified chords ripple rapidly, pulsing with raw power.","With amplified vigor, the electric guitar slashes through a quick-tempo tune.","A rapid-tempo, amplified electric guitar creates a whirlwind of exhilarating sound waves.
"
-DeAdhYKbGE.wav,bagpipe ensemble ,A haunting bagpipe ensemble evoking the misty highlands of Scotland.,"A lively, robust bagpipe ensemble, perfect for festive occasions.","The soulful harmony of a bagpipe ensemble, echoing through the glens.","A thunderous ensemble of bagpipes, resonating with the sound of tradition.","Bagpipes in unison, crafting an air of solemn reverence.
"
-Dtir74TiUM.wav,drum bass  synth and electronic drums,"The beats from the drum bass synth and electronic drums ooze energy, vibrating your soul."," A fluttery drum bass synth plays in concert with pulsating electronic drums, creating an irresistible dance tune."," The drum bass synth intertwines with the electronic drums, crafting a vibrant soundscape.", The grooves of the drum bass synth mix with the steady pulsation of the electronic drums in an intoxicating rhythm.," A drum bass synth and electronic drums scene, carrying listeners on waves of exhilarating beats."
-FEPOSP7ay0.wav,loud bell ,"A pulsating, resonate ring from a colossal loud bell.","Ripple of loud bell echoes, vibrating through silent air.","A thunderous clang of a powerful, loud bell shatters the serene silence.","A booming bell, loud and commanding, reigns over the soundscape.","The bell's strong, piercing peal cuts through the everyday noise."
-FlvaZQOr2I.wav,drums  strings  and horns,Vibrant drumbeats blend harmoniously with elegant strings and pulsating horns.,"Rhythmic drum rolls, velvety strings and majestic horns create a symphony.","Thundering drums, sweeping strings, and triumphant horns bellow a captivating harmony.","The dynamic drums, soulful strings, and resounding horns distinctly build a dramatic soundscape.","A playful mix of percussive drums, whispering strings, and rousing horns."
-O9mnfC61Ac.wav, fiddle  acoustic and electric guitars,"A symphony of fiddle, acoustic, and electric guitars creating a harmonious tune.","The melding of a rustic fiddle and modern guitars, bridging old and new.","A euphonious blend of fiddle with acoustic and electric guitars, plucking heartstrings.","A medley of fiddle, acoustic and electric guitars, crafting an exhilarating harmony.","The resonating sounds of fiddle, interspersed with electric and acoustic guitars, fill the room with dynamism."
-OAyRsvFGgc.wav,electric guitar solo and punchy percussion,"A soul-stirring electric guitar solo accompanied by sharp, punchy percussion beats.",A dynamic electric guitar riffs over vibrant and powerful drumming.,"Electric guitar solo with fast, high-energy percussion that gets your heart racing.",An electric guitar weaves intricate melodies above the relentless beat of punchy percussion.,"The electric guitar and punchy percussion blend into a rhythmic explosion of sound.
"
-XN0NtrnfMY.wav,rock instrumental,A heart-pumping rock instrumental that resonates with raw energy.,"A epic rock instrumental, driven by powerful guitar riffs.",Searing guitar lines twist and flow in this rock instrumental.,"The rock instrumental breathes life, whispering tales of rebellion.","Capturing the spirit of rock, the instrumental is a symphony of chaos and harmony."
-_OzT7Xyvok.wav,two nylon-string guitars,"A serene duet of nylon-string guitars, weaving a gentle melody.","Two guitars intertwine, creating a soft, harmonic conversation.","A pair of nylon-string guitars play, evoking a calm, rustic vibe.","The subtle strumming of two guitars, crafting a peaceful acoustic ambiance.","Dual nylon guitars in a lyrical and soothing performance.
"
-cLzki-B06o.wav,baglama  zurna  and electronic drums,"A mystical blend of baglama and zurna, layered over pulsating electronic drums.",Traditional meets modern: baglama and zurna with rhythmic electronic beats.,The ancient sounds of baglama and zurna fuse with dynamic electronic drum patterns.,Energetic electronic drums underpin the haunting melodies of baglama and zurna.,"Folkloric dance revived with spirited baglama, piercing zurna, and contemporary electronic drums.
"
-f6s6kQEHFY.wav,piano and synth,A mesmerizing combination of piano and synth creates a dreamlike melody.,"A bold blend of piano and synth, full of deep resonance.","The piano's powerful chords, matched by the synth's electronic hum, develops a cosmic harmony.","Piano and synth intertwining, playing a alluring symphony of modern and traditional sounds.","Exuberant piano paired with vibrant synth, creating an enchanting musical symphony."
