ytid,source_captions,new0,new1,new2,new3,new4
-0SdAVK79lg.wav,guitar  piano  and simple percussion,"A soulful blend of guitar, piano, and gentle percussion fills the air.","Melodic piano, rhythmic guitar, and soft percussion create harmony.","A serene ensemble of acoustic guitar, soothing piano, and light percussion.","The piano and guitar converse melodically, backed by a subtle percussion beat.","Each instrument shines, crafting a meditative soundscape with guitar, piano, and percussion."
-3Kv4fdm7Uk.wav,steeldrum,1. The steel drum's melody transports you to a tropical paradise.,Vibrant steel drum rhythms bring the Caribbean to life.,Steel drum beats echo with joyful island vibes.,Uplifting steel drum notes create an atmosphere of festivity.,The steel drum's tune dances with Caribbean soul.
-4SYC2YgzL8.wav,ambient acoustic guitar music,A gentle acoustic melody that transports you to a serene forest.,"Soft, calming notes from an acoustic guitar fill the room.",The acoustic guitar's harmonious strumming invokes tranquility.,"Soothing acoustic guitar music, perfect background for relaxation.",Ambient acoustic guitar music that gently envelops the listener.
-5xOcMJpTUk.wav,guitar tutorial with energetic technique,1. A dynamic guitar tutorial brimming with high-energy techniques.,An electrifying guitar tutorial showcasing advanced skills.,Engaging guitar tutorial full of vibrant techniques.,High-octane guitar tutorial bursting with energetic methods.,Vivid guitar tutorial demonstrating spirited playing techniques.
-88me9bBzrk.wav,tablas  bansuri flute and shrutibox,"A serene blend of tablas, bansuri flute, and shruti box exudes tranquility.",A harmonious fusion of rhythmic tablas with melodious bansuri over shruti box drones.,The soulful bansuri flute dances over the steady hum of the shruti box and tablas.,Enchanting notes from the bansuri flute paired with the rhythmic beats of tablas and the shruti box.,"The tablas' rhythmic pulse, accompanied by the soothing bansuri flute and droning shruti box, creates a mystical soundscape."
-ByoSbgzr4M.wav,amplified  rapid-tempo electric guitar,A rapid-tempo electric guitar blast that electrifies the senses.,The amplified electric guitar riffs charge the atmosphere with high energy.,"Rapid, amplified guitar notes explode with intensity and power.","Electrifying, rapid-tempo guitar riffs reverberate through the air.","High-energy, amplified guitar solos ignite the stage with vibrant force."
-DeAdhYKbGE.wav,bagpipe ensemble ,A haunting melody of bagpipes fills the air with Scottish pride.,An array of bagpipes creating a beautifully harmonious sound.,The bagpipe ensemble evokes the rolling hills of Scotland.,A vibrant celebration of culture through the powerful bagpipe ensemble.,The stirring sounds of bagpipes resonate in perfect unison.
-Dtir74TiUM.wav,drum bass  synth and electronic drums,A drum bass synth and electronic drums create an electrifying beat.,A pulsating rhythm with drum bass synth and electronic drums.,"The electronic drums echo, complemented by the deep drum bass synth.",A fusion of drum bass synth and electronic drums fill the air.,Energetic drum bass synth and electronic drums get your feet tapping.
-FEPOSP7ay0.wav,loud bell ,,,,,
-FlvaZQOr2I.wav,drums  strings  and horns,"Drums, strings, and horns creating a powerful symphony that echoes through the halls.","Energetic drums, melodic strings, and bold horns making a thrilling composition.","Rhythmic drums, harmonious strings, and triumphant horns painting an epic soundscape.","Drums beat, strings sing, and horns blare in a majestic orchestration.","A vibrant blend of drums, strings, and horns igniting a musical journey."
-O9mnfC61Ac.wav, fiddle  acoustic and electric guitars,,,,,
-OAyRsvFGgc.wav,electric guitar solo and punchy percussion,"An electric guitar solo electrifying the crowd, backed by punchy, energetic percussion.","A riveting electric guitar solo with dynamic, punchy percussion driving the beat.","The electric guitar's fierce solo dances with the punchy, rhythmic percussion.","Electric guitar solo tearing through the air, matched by punchy percussion beats.",An electrifying guitar solo meets punchy percussion in a high-energy performance.
-XN0NtrnfMY.wav,rock instrumental,A rock instrumental that pulses with an electrifying energy.,A heavy rock instrumental with intense guitar riffs and pounding drums.,An exhilarating rock instrumental showcasing virtuosic guitar solos.,"A dynamic rock instrumental, blending raw power and intricate melodies.",A rock instrumental that captures the spirit of rebellion and freedom.
-_OzT7Xyvok.wav,two nylon-string guitars,"Two nylon-string guitars weave a soft, harmonious duet.",Delicate melodies from dueling nylon-string guitars create a serene atmosphere.,The soft strum of nylon-string guitars fills the room with warmth.,"A gentle interplay between two nylon-string guitars, telling a story without words.","The nylon strings resonate, crafting a calming and intimate ambience."
