ytid,source_captions,new0,new1,new2,new3,new4
-0SdAVK79lg.wav,guitar  piano  and simple percussion,"A gentle piano, strumming guitar, and soft percussion blend into a calming melody.","Dynamic guitar riffs, piano harmonies, and rhythmic percussion energize the air.","The guitar and piano weave a duet, underpinned by subtle drum beats.","Soft piano keys meet mellow guitar strings alongside light, tapping percussion.","A harmonious trio of piano, guitar, and percussion creates a soothing, rhythmic flow.
"
-3Kv4fdm7Uk.wav,steeldrum,answer: The mellow sounds of the steeldrum transport you to a Caribbean sunset.,"An upbeat, carnival-style steeldrum rhythm.",The rustic tone of the steeldrum resonates with a tropical charm.,The steeldrum's rhythmic beats evoke distant island vibes.,"Soothing yet lively, this steeldrum performance is akin to a musical sunshine."
-4SYC2YgzL8.wav,ambient acoustic guitar music,A gentle acoustic guitar melody that transports you to a tranquil forest glade.,"Soft, flowing notes of an acoustic guitar, perfect for a peaceful evening.","The delicate strumming of the acoustic guitar evokes a serene, dreamlike atmosphere.","Warm, resonant acoustic guitar music that wraps around you like a cozy blanket.","A minimalist acoustic guitar piece, each note clear and reflective under the moonlight.
"
-5xOcMJpTUk.wav,guitar tutorial with energetic technique,An invigorating guitar tutorial filled with a high-powered technique.,A spirited guitar lesson that highlights an active playing method.,A lively guitar tutorial bursting with dynamic technical skills.,A guitar tutorial rich with vigorous technique and lively presentation.,A vibrant learning experience with a guitar tutorial displaying dynamic techniques.
-88me9bBzrk.wav,tablas  bansuri flute and shrutibox,"A rhythmic dance of tablas with the ethereal tones of a bansuri flute, accompanied by the droning shrutibox.",A soulful bansuri flute intertwines with the vibrant beats of tablas and the steady hum of a shrutibox.,"An enchanting ensemble: the sharp taps of tablas, the melodious bansuri flute, and the resonant shrutibox.","Tablas set a rapid tempo, while the bansuri flute weaves lyrical melodies, all grounded by the shrutibox's constant drone.","A fusion of tradition: lively tabla rhythms, the serene call of a bansuri flute, and the deep echo of a shrutibox.
"
-ByoSbgzr4M.wav,amplified  rapid-tempo electric guitar,An amplified electric guitar joyfully dances to a rapid-tempo beat.,"A frantically amplified, rapid-tempo electric guitar sound, pulling at vibrant energy strings.","The amplified electric guitar accelerates, creating a fast-tempo marvel.","An amplified electric guitar whirls at a breakneck tempo, igniting a fire of exhilaration.","An intensified, rapid-tempo broadcast from an electric guitar shaking your soul."
-DeAdhYKbGE.wav,bagpipe ensemble ,answer: The bagpipe ensemble evokes the atmosphere of a Scottish Highlands gathering.,"A powerful bagpipe ensemble producing an earthy, resonant music.","A lively bagpipe ensemble, captivating listeners with melodious harmonies.",The bagpipe ensemble stirs emotions with its haunting tones.,Transport yourself to a misty lochside with the impressive sounds of this bagpipe ensemble.
-Dtir74TiUM.wav,drum bass  synth and electronic drums,"The hypnotizing beat of the drum bass, synth, and electronic drums energizes the night.","A rhythm fusion featuring drum bass, stimulating synth beats, and pulsating electronic percussion.","The drum bass blends with synth and electronic drums, creating an addictive dance anthem.","Masterful beats from drum bass, synth, and electronic drums, a symphony for the digital age.","The pulsating beats of drum bass, paired with synth and electronic drums, create a mesmerizing melody."
-FEPOSP7ay0.wav,loud bell ,"A loud bell echoes, startling the air with its abrupt clang.","A deep, resonant bell tone that reverberates through the silence.","The bell's loud chime pierces the quiet morning, calling for attention.","A sudden loud bell, crisp and commanding in its call.","The bell tolls loudly, its sound sweeping across the landscape.
"
-FlvaZQOr2I.wav,drums  strings  and horns,"A dynamic symphony of drums, strings, and horns, creating an enticing musical masterpiece.","The rhythmic thrust of drums, the moody resonance of strings, and the brassy exclaims of horns.","The drums, strings, and horns harmoniously interweaving, narrating an auditory tale.","An explosive dance of drums, strings, and horns, full of power, passion, and precision.","Soothing strings, pounding drums, and the robust call of the horns form a euphonious pleasure."
-O9mnfC61Ac.wav, fiddle  acoustic and electric guitars,A well-played fiddle paired with acoustic & electric guitars adding a classic touch.,"The acoustic and electric guitars, alongside the fiddle, create a folk-rock symphony.", Melodious fiddle mixed with the passionate strumming of both acoustic and electric guitars.," The fiddle's sweet sound intertwined with acoustic and electric guitar, creating a comforting melody.","The fiddle, acoustic and electric guitars blend to form a resonant sonic picture that captivates listeners."
-OAyRsvFGgc.wav,electric guitar solo and punchy percussion,"A rhythmic electric guitar solo accompanied by punchy percussion, energizing the crowd.",Electric guitar riffs blend with dynamic drum beats in a captivating solo.,"An electric guitar and percussion duet, pulsing with vibrant, raw energy.","Intense electric guitar solos with sharp, forceful percussion drive the melody.","The electric guitar weaves through explosive drum patterns in a powerful performance.
"
-XN0NtrnfMY.wav,rock instrumental,A dreamy piano piece that seems to carry you gently across a serene lake.,A haunting piano melody that echoes through an empty hall.,A lively piano tune that dances like sunlight on water.,"The piano keys whisper a soft, heartfelt lullaby.","An intricate piano composition, weaving complex harmonies like a spider's web.
"
