ytid,source_captions,new0,new1,new2,new3,new4
-0SdAVK79lg.wav,guitar  piano  and simple percussion,"A harmonious blend of guitar, piano, and gentle percussion creates a tranquil atmosphere.","The guitar, piano, and percussion unite in a symphony of soothing melodies.","A beautiful fusion of guitar, piano, and percussion, creating a serene soundscape.","Guitar, piano, and percussion intertwine in a calm and peaceful rhythm.","A delightful mix of guitar, piano, and soft percussion evokes a sense of calm."
-3Kv4fdm7Uk.wav,steeldrum,"Sure, here are five enriched descriptions of a steel drum piece:

A lively steel drum tune that transports you to the Caribbean.",A soothing steel drum melody that calms your soul.,"Steel drum rhythms pulsate with tropical joy, igniting your spirit.",The steel drum's resonant notes echo with vibrant energy.,"Steel drum harmonies create a sunny, carefree ambiance."
-4SYC2YgzL8.wav,ambient acoustic guitar music,1. Gentle acoustic guitar chords filling the air with serenity and calmness. ," Soft, ambient guitar strumming that soothes the soul. "," Acoustic guitar melodies evoking a peaceful, natural landscape. "," The gentle plucking of acoustic strings, creating a tranquil atmosphere. ", Ambient guitar sounds that gently drift like a breeze.
-5xOcMJpTUk.wav,guitar tutorial with energetic technique,"A guitar tutorial with energetic technique:   
1. A vibrant guitar tutorial packed with electrifying techniques. ","  
2. High-energy guitar techniques to elevate your playing. ","  
3. Master intense guitar techniques with this dynamic tutorial. ","  
4. Energetic guitar lessons for a thrilling musical journey. ","  
5. Dive into powerful guitar techniques with this exciting tutorial."
-88me9bBzrk.wav,tablas  bansuri flute and shrutibox,"The enchanting blend of tablas, bansuri flute, and shrutibox creates an ethereal soundscape.","A soulful symphony of tablas, bansuri flute, and shrutibox transcends earthly realms.","The rhythmic tablas, lyrical bansuri flute, and resonant shrutibox harmonize like a celestial dream.","Tablas' heartbeat, bansuri's whispers, and shrutibox's hum form an otherworldly musical trance.","Mystical melodies emerge as the tablas, bansuri flute, and shrutibox unite in divine harmony."
-ByoSbgzr4M.wav,amplified  rapid-tempo electric guitar,"An electrifying, quick-tempo electric guitar sparks the stage with raw power and excitement.","A dynamic, high-speed electric guitar performance that leaves the crowd breathless.",Amplified rapid-tempo electric guitar shreds through the air with piercing precision.,"The rapid tempo of the amplified electric guitar pulses with fierce, unstoppable energy.","Frenzied electric guitar riffs, amplified to perfection, unleash chaos and exhilaration."
-DeAdhYKbGE.wav,bagpipe ensemble ,,,,,
-Dtir74TiUM.wav,drum bass  synth and electronic drums,The driving beat of drum and bass paired with futuristic synths.,Deep basslines and crisp electronic drums create an energetic vibe.,"A powerful combination of drum bass and synths, perfect for the dance floor.",Synth melodies intertwine with pulsating electronic drums and bass.,"Dynamic and rhythmic, the electronic drums elevate the intense synth and bass lines."
-FEPOSP7ay0.wav,loud bell ,"1. A loud bell tolls, resonating with authority across the quiet town.","
2. The sharp clang of a loud bell shatters the morning silence.","
3. The loud bell rings urgently, summoning everyone to attention.","
4. A grand, loud bell echoes through the cathedral, marking a sacred moment.","
5. With each reverberating strike, the loud bell sends a powerful message."
-FlvaZQOr2I.wav,drums  strings  and horns,"1. A dynamic blend of drums, strings, and horns that captivates the soul. "," A powerful ensemble of drums, strings, and horns. "," The drums, strings, and horns create an epic symphony. "," A harmonious mix of drums, strings, and horns. "," Drums, strings, and horns merge in a breathtaking performance."
-O9mnfC61Ac.wav, fiddle  acoustic and electric guitars,"The fiddle dances over acoustic and electric guitar, creating a mesmerizing harmony.",Fiery fiddle meets the gentle strum of acoustic and electric guitars in a captivating fusion.,An enchanting fiddle intertwines with the dynamic pulse of acoustic and electric guitars.,The fiddle's lively notes blend beautifully with the rich tones of acoustic and electric guitars.,"A symphony of fiddle and guitars, blending rustic charm with modern flair."
