ytid,source_captions,new0,new1,new2,new3,new4
-0SdAVK79lg.wav,guitar  piano  and simple percussion,"A lively ensemble of guitar, piano, and percussion creates a vibrant and upbeat atmosphere.","The delicate interplay between guitar, piano, and percussion creates a mesmerizing musical tapestry.","A harmonious blend of guitar, piano, and percussion, creating a dynamic and rich sound.","The guitar, piano, and percussion weave together in perfect harmony, creating a symphony of sound.","The energetic fusion of guitar, piano, and percussion fills the air with an infectious rhythm and melody."
-3Kv4fdm7Uk.wav,steeldrum,,,,,
-4SYC2YgzL8.wav,ambient acoustic guitar music,,,,,
-5xOcMJpTUk.wav,guitar tutorial with energetic technique,Answer: An electrifying guitar tutorial that will have you tapping your toes and shredding like a rockstar.,A dynamic guitar tutorial with high-energy techniques that will leave you breathless.,A high-octane guitar tutorial that will unleash your inner virtuoso and ignite your passion for playing.,A lively and energetic guitar tutorial that will inject new life into your guitar playing skills.,A spirited guitar tutorial filled with fiery techniques that will push your abilities to new limits.
-88me9bBzrk.wav,tablas  bansuri flute and shrutibox,1. The rhythmic beat of tablas intertwined with the enchanting melodies of bansuri flute and shrutibox creates a mesmerizing fusion. ," Tablas, bansuri flute, and shrutibox unite harmoniously to transport listeners to a mystical realm. "," The hypnotic blend of tablas, bansuri flute, and shrutibox evokes a sense of tranquility and spiritual awakening. "," The intricate patterns of tablas, bansuri flute, and shrutibox weave together in a beautiful tapestry of sound. "," The traditional sounds of tablas, bansuri flute, and shrutibox create a rich cultural experience for the ears."
-ByoSbgzr4M.wav,amplified  rapid-tempo electric guitar,"Answer:
An electrifying and thunderous rapid-tempo electric guitar that will leave you breathless and craving for more.","The piercing sound of an amplified rapid-tempo electric guitar reverberates through your entire body, igniting pure adrenaline.","The blistering and furious electric guitar shreds through the air with lightning speed, commanding attention and leaving a trail of awe.","The amplified rapid-tempo electric guitar unleashes a torrent of powerful and aggressive energy, electrifying the atmosphere.","With every strum of the amplified rapid-tempo electric guitar, a wave of electrifying sound crashes upon your senses, captivating and exhilarating."
-DeAdhYKbGE.wav,bagpipe ensemble ,A haunting bagpipe ensemble that transports you to the misty moors of Scotland.,A lively bagpipe ensemble that makes you want to dance a Celtic jig.,The bagpipe ensemble evokes a sense of tradition and nostalgia.,"Powerful bagpipe harmonies resonate through the air, capturing the essence of Celtic culture.",A dynamic bagpipe ensemble that fills the room with the sound of ancient melodies.
-Dtir74TiUM.wav,drum bass  synth and electronic drums,,,,,
-FEPOSP7ay0.wav,loud bell ,"answer: A resounding blast of bells that reverberates through the air, filling the surroundings with grandeur.",The booming toll of the bells creates a dramatic and spine-tingling ambiance.,"The piercing sound of the bells cuts through the silence, demanding attention and leaving a lasting impression.",A thunderous cascade of bells that resonates with power and echoes across the landscape.,The deafening clash of the bells startles the senses and adds a touch of awe-inspiring intensity.
-FlvaZQOr2I.wav,drums  strings  and horns,"answer: A dynamic composition combining lively drums, elegant strings, and bold horns that create a vibrant and captivating musical tapestry.","The thunderous drums, graceful strings, and triumphant horns blend harmoniously, invigorating your senses.","The drums pound with a relentless energy, while the strings and horns weave a hypnotic melody.","A symphonic masterpiece of synchronized drums, enchanting strings, and majestic horns that will transport you to another world.","The drums roar like thunder, the strings glide like silk, and the horns soar with regal grandeur."
-O9mnfC61Ac.wav, fiddle  acoustic and electric guitars,"The fiddle weaves a lively melody, while acoustic and electric guitars harmonize in a captivating dance of sound. "," A fiddle sets the stage with its soulful melody, complemented by the twang of acoustic and electric guitars. ", The fiddle's whimsical notes play off the dynamic strumming of acoustic and electric guitars. ," A mesmerizing blend of fiddle, acoustic, and electric guitars creates a symphony of earthy and electrifying tones. "," The fiddle's playful notes are met with the spirited strumming of acoustic and electric guitars, creating a harmonious blend of folk and rock."
-OAyRsvFGgc.wav,electric guitar solo and punchy percussion,An electrifying guitar solo paired with energetic percussion that will make your heart race.,Dynamic electric guitar solo intertwined with powerful and rhythmic percussion.,The electric guitar wails as the percussion pounds in perfect harmony.,The combination of electric guitar solo and punchy percussion creates an adrenaline-fueled sound.,Thrilling electric guitar solo accompanied by driving percussion beats.
-XN0NtrnfMY.wav,rock instrumental,answer: A driving rock instrumental that captivates with its powerful guitar riffs and thunderous drum beats.,An electrifying rock instrumental that ignites the senses and unleashes an exhilarating rush of energy.,"The rock instrumental resonates with raw power, its pulsating rhythms and scorching guitar licks leaving no room for silence.","A dynamic rock instrumental that bursts with unrestrained passion, its thundering drums and screaming guitars creating a sonic storm.","A blistering rock instrumental that transports listeners to the edge of their seats, fueled by relentless guitar solos and heart-pounding rhythms."
-_OzT7Xyvok.wav,two nylon-string guitars,1. Entrancing nylon-string guitars that weave together in a mesmerizing dance of harmony and melody.,"
2. The delicate intertwining of two nylon-string guitars creates a beautiful tapestry of sound.","
3. Ethereal nylon-string guitars gently caress the air with their soothing melodies.","
4. The resonant tones of two nylon-string guitars blend in perfect unison, creating an enchanting atmosphere.","
5. Two nylon-string guitars pluck away at intricate melodies, painting a peaceful and serene musical landscape."
-cLzki-B06o.wav,baglama  zurna  and electronic drums,answer: A mesmerizing blend of traditional Turkish baglama and zurna melodies intertwined with the pulsating beats of electronic drums.,The hypnotic sound of the baglama and zurna transports you to a colorful bazaar filled with vibrant rhythms.,The fusion of baglama and zurna with electronic drums creates an exhilarating musical experience that bridges ancient and modern.,"The energetic combination of baglama, zurna, and electronic drums transforms the music into a danceable feast for the senses.",A sonic tapestry where the ancient sounds of baglama and zurna meet the futuristic beats of electronic drums.
-f6s6kQEHFY.wav,piano and synth,"answer: A delicate intertwining of piano and synth, creating a mesmerizing fusion of classical elegance and futuristic sounds."," A hauntingly beautiful combination of piano and synth, evoking a sense of longing and nostalgia."," The piano and synth dance harmoniously, weaving an intricate tapestry of ethereal melodies."," The hypnotic blend of piano and synth paints an otherworldly soundscape, transporting listeners to a realm of enchantment."," The piano and synth duo create a cinematic atmosphere, capturing both the depth of emotion and the excitement of adventure."
-hYRFCQdbLg.wav,marimba,answer: The playful and rhythmic marimba transports you to a tropical paradise.,"The marimba's melodies dance and weave, filling the air with infectious joy.","The marimba's vibrant tones create a lively atmosphere, invoking images of bustling markets.",A mesmerizing marimba performance that resonates with bursts of energy and vibrant colors.,The marimba's enchanting tunes transport you to an ethereal realm of serenity and wonder.
-i9gpG3vPwA.wav,amplified piano,,,,,
-kpR93atgd8.wav,Saxophone and electronic guitar,"answer: The smooth, sultry tones of the saxophone intertwine harmoniously with the electric guitar's electrifying riffs.",The saxophone serenades with its jazzy melodies as the electric guitar adds a touch of edginess.,A dynamic duet between the saxophone's lyrical allure and the electric guitar's raw energy.,The saxophone's soulful wails blend seamlessly with the electrifying soundscapes created by the guitar.,"The saxophone and electric guitar engage in a passionate musical conversation, evoking eclectic emotions."
-lPXTBXa0tE.wav,guitar,,,,,
